date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:08	9219/9219	---MCZ	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202026%2003:42:08%20GMT	https://sizquirt.net/robots.txt		(from )
16:42:08	53989/53989	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2003:42:08%20GMT	https://sizquirt.net/	C:/My%20Web%20Sites/dsdfs/sizquirt.net/index.html	(from )
16:42:09	185801/185801	---M--	200	added ('OK')	image/jpeg	etag:%220cbf5517f9b02b642c23e0570fd3d3d5%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/share.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/share.jpg	(from https://sizquirt.net/)
16:42:09	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2020%20Mar%202026%2003:42:09%20GMT	https://sizquirt.net/index.html	C:/My%20Web%20Sites/dsdfs/sizquirt.net/index-2.html	(from https://sizquirt.net/)
16:42:09	223/223	---M--	200	added ('OK')	image/png	etag:%2209a8b560836769e5e779adf2b756bf63%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/icon.png	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/icon.png	(from https://sizquirt.net/)
16:42:09	119639/119639	---MCZ	200	added ('OK')	text/css	etag:W/%22f80f11a79024817f82cecb1b7e11a840%22	https://cdn.sizquirt.net/sizquirt/website/style.css	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/style.css	(from https://sizquirt.net/)
16:42:10	1554536/1554536	---M--	200	added ('OK')	image/png	etag:%2256bf3df370e10a55274da4d8505283e1%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/apple-touch-icon.png	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/apple-touch-icon.png	(from https://sizquirt.net/)
16:42:10	3516/3516	---M--	200	added ('OK')	image/png	etag:%224a05e0bfc48cacfe5efbfd4f4819421f%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/image04.png	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/image04.png	(from https://sizquirt.net/)
16:42:10	44913/44913	---M--	200	added ('OK')	image/jpeg	etag:%2299bb137f87bdedbd50c33b5659784a89%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/image01.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/image01.jpg	(from https://sizquirt.net/)
16:42:10	4932512/4932512	---M--	200	added ('OK')	image/jpeg	etag:%22d5bce6e646c7ad468a7400b654091e35%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/1.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/1.jpg	(from https://sizquirt.net/)
16:42:10	602691/602691	---M--	200	added ('OK')	image/jpeg	etag:%222bb70d381363c3e04004a6cc1b6ad4e0%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/2.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/2.jpg	(from https://sizquirt.net/)
16:42:11	304846/304846	---M--	200	added ('OK')	image/jpeg	etag:%224101b01310b5aa3cc507872b4a627d9d%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/3.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/3.jpg	(from https://sizquirt.net/)
16:42:11	223795/223795	---M--	200	added ('OK')	image/jpeg	etag:%22e06fa43a0d1ab498a5d2d539c37f05f5%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/4.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/4.jpg	(from https://sizquirt.net/)
16:42:11	982159/982159	---M--	200	added ('OK')	image/jpeg	etag:%22f1fe15834880d4826e12306f4863a034%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/5.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/5.jpg	(from https://sizquirt.net/)
16:42:11	538315/538315	---M--	200	added ('OK')	image/jpeg	etag:%223393a83f835933d055d7f40016a66d83%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/6.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/6.jpg	(from https://sizquirt.net/)
16:42:11	637233/637233	---M--	200	added ('OK')	image/jpeg	etag:%22bbd3305673a188c00ed8244df90ecdf6%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/7.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/7.jpg	(from https://sizquirt.net/)
16:42:12	626430/626430	---M--	200	added ('OK')	image/jpeg	etag:%224666f7ed591c553604981a16723cf94d%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/8.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/8.jpg	(from https://sizquirt.net/)
16:42:12	950134/950134	---M--	200	added ('OK')	image/jpeg	etag:%222b18e6e7a88e4ded74465c56d5ad6dc2%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/9.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/9.jpg	(from https://sizquirt.net/)
16:42:12	1267957/1267957	---M--	200	added ('OK')	image/jpeg	etag:%22b06ef4181b7eed5ee6351e6ed888e617%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/10.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/10.jpg	(from https://sizquirt.net/)
16:42:12	707896/707896	---M--	200	added ('OK')	image/jpeg	etag:%224303f4f642d9ae345acb2cc74e36792c%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/11.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/11.jpg	(from https://sizquirt.net/)
16:42:13	894091/894091	---M--	200	added ('OK')	image/jpeg	etag:%229fa27f23ca8c130d85ac80dcc2c6b582%22	https://cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/12.jpg	C:/My%20Web%20Sites/dsdfs/cdn.sizquirt.net/sizquirt/website/assets/images/gallery02/12.jpg	(from https://sizquirt.net/)
